,id,name,normalized_name,category_code,status,founded_at,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships
13,c:1001,FriendFeed,friendfeed,web,acquired,2007-10-01,USA,Mountain View,SF Bay,,,0,0,2008-02-26,2008-02-26,1,5000000.0,2008-05-01,2012-09-13,3,14
20,c:100155,MTPV,mtpv,cleantech,operating,2003-01-01,USA,Austin,Austin,,,0,0,2011-03-08,2012-01-26,3,10125293.0,2010-01-01,2010-01-01,1,6
26,c:100189,Locatrix Communications,locatrix communications,mobile,operating,2003-11-01,AUS,Brisbane,SF Bay,,,0,0,2003-11-01,2003-11-01,1,250000.0,2007-11-01,2007-11-01,1,2
32,c:100228,iHireHelp,ihirehelp,education,operating,2010-10-01,USA,,New Jersey - Other,,,0,0,2011-04-16,2011-04-16,1,100000.0,2010-10-01,2010-10-01,1,0
36,c:100238,Cardiosolutions,cardiosolutions,medical,operating,2006-01-01,USA,West Bridgewater,West Bridgewater,,,0,0,2011-09-06,2012-07-10,2,11300000.0,,,0,2
40,c:100253,Blend Biosciences,blend biosciences,biotech,operating,,,,unknown,,,0,0,2011-09-06,2011-09-06,1,2800000.0,,,0,1
41,c:10026,Wevod,wevod,games_video,operating,2006-05-04,FRA,Paris,Paris,,,0,0,2007-02-01,2007-10-01,2,414840.0,,,0,2
45,c:100271,Balance Financial,balance financial,enterprise,operating,2004-01-01,USA,Bellevue,Seattle,,,0,0,2011-09-06,2011-09-06,1,1500000.0,2010-01-01,2010-01-01,1,8
48,c:1003,Wikinvest,wikinvest,web,operating,2006-01-01,USA,San Francisco,SF Bay,,,0,0,2007-10-01,2007-10-01,1,2500000.0,2010-07-01,2012-05-01,2,7
51,c:100331,Solectria Renewables,solectria renewables,cleantech,operating,,USA,Lawrence,Boston,,,0,0,2011-09-06,2011-09-06,1,2100000.0,,,0,2
74,c:100607,Jogabo,jogabo,games_video,operating,2011-01-01,USA,San Francisco,SF Bay,,,0,0,2011-11-04,2011-11-04,1,40000.0,2012-12-01,2012-12-01,1,5
77,c:10065,Courion Corporation,courion,software,operating,1996-01-01,USA,Westborough,Boston,,,0,0,2011-03-01,2012-04-10,2,840000.0,,,0,19
81,c:1007,Rupture,rupture,games_video,acquired,,USA,San Francisco,SF Bay,,,0,0,2007-07-01,2007-07-01,1,3000000.0,2007-09-01,2012-08-25,2,6
93,c:10075,Birdpost,birdpost,web,operating,2007-11-08,USA,Menlo Park,SF Bay,,,0,0,2007-11-01,2007-11-01,1,350000.0,2008-09-10,2008-09-10,1,2
94,c:100756,Ambitious Minds,ambitious minds,education,operating,2009-01-01,GBR,Liverpool,Liverpool,,,0,0,2011-09-07,2011-09-07,1,559522.0,,,0,0
103,c:10082,iCharts,icharts,analytics,operating,2008-01-01,USA,Sunnyvale,SF Bay,,,0,0,2012-02-29,2012-02-29,1,3100000.0,2009-08-10,2012-02-28,3,5
110,c:100844,Attunity,attunity,software,ipo,,USA,Burlington,Boston,,,0,0,2004-06-01,2011-09-21,4,10500000.0,2012-02-14,2012-02-14,1,1
120,c:10092,FairSoftware,fairsoftware,web,closed,2007-01-01,USA,Mountain View,SF Bay,,,0,0,2007-01-01,2007-01-01,1,100000.0,2009-01-16,2009-01-16,1,1
122,c:10093,AMAX Global Services,amax global services,software,operating,2000-01-01,USA,Fremont,SF Bay,,,0,0,2012-11-13,2012-11-13,1,45000.0,,,0,0
125,c:100938,The Local,the local,news,operating,2004-04-01,SWE,Stockholm,Stockholm,,,0,0,2007-10-01,2011-04-01,3,3933515.0,2004-06-01,2004-06-01,1,2
130,c:10098,Tingz,tingz,software,operating,2007-04-27,USA,Knoxville,Knoxville,,,0,0,2008-06-26,2008-06-26,1,280000.0,2008-09-09,2009-01-06,2,2
133,c:101,SellABand,sellaband,games_video,closed,2006-08-01,DEU,46395 Bocholt,Bocholt,,,0,0,2008-04-08,2008-04-08,1,5000000.0,2008-03-10,2012-05-10,5,3
138,c:101052,Icount.com,icount,government,operating,2010-05-05,USA,Orem,Salt Lake City,,,0,0,2010-05-01,2011-01-01,2,182500.0,,,0,3
145,c:101094,Rev Worldwide,rev worldwide,ecommerce,operating,2008-01-01,USA,Austin,Austin,,,0,0,2013-02-01,2013-12-08,2,4815940.0,,,0,4
147,c:10111,Tonchidot,tonchidot,mobile,operating,2008-08-01,JPN,Tokyo,Tokyo,,,0,0,2009-12-08,2010-09-30,2,16000000.0,2009-08-28,2012-01-31,3,8
151,c:10116,HammerKit,hammerkit,web,closed,2006-11-30,FIN,Helsinki,Helsinki,,,0,0,2012-01-19,2012-01-19,1,1613875.0,,,0,3
165,c:101271,Eqvilibria,eqvilibria,other,operating,2009-03-01,RUS,Moscow,Moscow,,,0,0,2011-06-01,2011-06-01,1,720000.0,2010-01-01,2010-01-01,1,3
167,c:10129,Sportsvite,sportsvite,web,operating,2007-01-01,USA,New York,New York,,,0,0,2011-11-30,2013-03-01,2,4350000.0,,,0,2
170,c:101312,SideTour,sidetour,web,acquired,2011-06-01,USA,New York,New York,,,0,0,2011-07-01,2013-03-25,3,4000000.0,2012-07-01,2013-09-18,2,7
171,c:101317,ChatID,chatid,mobile,operating,2011-04-01,USA,New York,New York,,,0,0,2011-07-01,2013-05-31,3,3268000.0,2013-01-01,2013-01-01,1,9
172,c:10132,PGP TrustCenter,pgp trustcenter,security,operating,1997-01-01,USA,Newton,Boston,,,0,0,2007-05-29,2007-05-29,1,8500000.0,2009-09-14,2009-09-14,1,2
177,c:101340,ChoicePass,choicepass,enterprise,acquired,2011-07-01,USA,San Francisco,SF Bay,,,0,0,2011-07-01,2011-07-01,1,250000.0,2011-07-01,2011-07-01,1,2
181,c:10137,Producteev,producteev,software,acquired,2008-07-08,USA,New York,New York,,,0,0,2008-07-15,2010-02-01,3,1310000.0,2011-01-01,2013-05-21,2,12
195,c:101449,Links Global,links global,finance,operating,,,,unknown,,,0,0,2011-09-07,2011-09-07,1,22000000.0,,,0,0
197,c:10146,Twonq,twonq,web,operating,2008-07-01,USA,San Francisco,SF Bay,,,0,0,2008-01-01,2008-01-01,1,800000.0,,,0,5
200,c:101472,Vintnersâ Alliance,vintnersâ alliance,advertising,operating,,,,unknown,,,0,0,2011-09-07,2011-09-07,1,1300000.0,,,0,0
202,c:101481,Striiv,striiv,hardware,operating,,USA,Redwood City,SF Bay,,,0,0,2011-09-07,2011-09-07,1,6000000.0,2012-01-13,2012-01-13,1,0
208,c:101511,Vestaron Corporation,vestaron,biotech,operating,2001-01-01,USA,Kalamazoo,Kalamazoo,,,0,0,2012-05-08,2012-05-08,1,10200000.0,,,0,2
210,c:101519,Vidacare,vidacare,hardware,acquired,,USA,Shavano Park,San Antonio,,,0,0,2010-01-21,2010-01-21,1,274999.0,,,0,4
212,c:101527,agencyQ,agencyq,advertising,operating,,USA,Washington,Washington DC,,,0,0,2011-09-07,2011-09-07,1,1600000.0,,,0,3
213,c:10153,"ITOG, Inc.",itog,network_hosting,closed,2006-09-19,USA,Saint Louis,Saint Louis,,,0,0,2008-02-11,2008-02-11,1,205000.0,,,0,1
215,c:101535,Finestrella,finestrella,finance,operating,2008-01-01,MEX,"Mexico City, DF",Mexico City,,,0,0,2011-09-07,2011-09-07,1,13800000.0,,,0,0
217,c:10155,AdRocket,adrocket,advertising,operating,2008-02-01,USA,San Francisco,SF Bay,,,0,0,2009-05-15,2009-05-15,1,1000000.0,2008-09-08,2009-09-01,2,3
221,c:10158,StudioNow,studionow,photo_video,acquired,2007-01-01,USA,Nashville,Nashville,,,0,0,2007-06-15,2013-01-29,3,15286415.0,2010-09-28,2010-09-28,1,2
227,c:10164,Burt,burt,advertising,operating,2009-03-01,SWE,Gothenburg,Gothenburg,,,0,0,2009-05-01,2011-06-30,2,3500000.0,2008-09-08,2011-06-01,3,9
235,c:10169,sarvaMAIL,sarvamail,security,closed,,USA,Mountain View,SF Bay,,,0,0,2008-06-16,2008-06-16,1,250000.0,,,0,0
239,c:10174,Tesaris,tesaris,software,operating,2006-11-01,USA,Herriman,Herriman,,,0,0,2007-01-01,2007-01-01,1,230000.0,,,0,3
240,c:10175,My Best Interest,my best interest,software,closed,2006-11-05,USA,Goleta,Santa Barbara,,,0,0,2008-05-10,2008-05-10,1,375000.0,,,0,3
242,c:101759,Transmit,transmit,software,operating,2009-06-01,ISL,Reykjavik,Reykjavik,,,0,0,2010-11-29,2010-11-29,1,450000.0,2009-06-01,2009-06-01,1,2
247,c:10179,GoodGuide,goodguide,web,acquired,2007-12-01,USA,San Francisco,SF Bay,,,0,0,2009-01-19,2011-08-26,3,14229998.0,2010-05-18,2011-02-17,3,14
250,c:10180,GoPlanit,goplanit,web,operating,2007-08-01,USA,san francisco,SF Bay,,,0,0,2008-01-01,2008-01-01,1,500000.0,2007-01-01,2011-05-03,2,6
258,c:101837,Conjecta,conjecta,finance,operating,2011-03-01,USA,Charlotte,Charlotte,,,0,0,2011-03-01,2011-03-01,1,100000.0,2011-03-01,2011-08-05,2,1
260,c:10184,Supponor,supponor,other,operating,,FIN,Ristiina,Ristiina,,,0,0,2008-08-28,2012-06-08,2,26251500.0,,,0,0
264,c:101859,FaceTags,facetags,photo_video,closed,2011-05-15,,,unknown,,,0,0,2011-05-17,2011-05-17,1,15000.0,,,0,1
293,c:10197,PostPath,postpath,web,acquired,2003-01-01,USA,Mountain View,SF Bay,,,0,0,2004-12-07,2007-01-16,2,24300000.0,2005-01-01,2013-03-08,3,2
296,c:10199,Where I've Been,where ive been,travel,acquired,2007-06-08,USA,Chicago,Chicago,,,0,0,2008-03-15,2010-04-15,2,1750000.0,2007-01-01,2010-04-14,2,3
297,c:1020,JibJab,jibjab,web,operating,1999-01-01,USA,Venice,Venice,,,0,0,2006-06-23,2009-01-07,3,17900000.0,2010-06-01,2012-11-27,4,6
298,c:10200,Swype,swype,software,acquired,2002-01-01,USA,Seattle,Seattle,,,0,0,2009-04-02,2011-07-12,5,13900000.0,2009-07-16,2013-04-23,3,5
342,c:10226,Quant the News,quant the news,web,operating,2007-01-01,USA,Los Angeles,Los Angeles,,,0,0,2007-01-01,2007-01-01,1,150000.0,2008-09-08,2008-09-08,1,2
348,c:102294,Advanced Search Laboratories,advanced search laboratories,search,operating,,USA,Dallas,Dallas,,,0,0,2011-07-29,2012-08-09,2,650000.0,,,0,6
361,c:102396,IntroFly,introfly,web,operating,2011-06-01,USA,Chicago,Chicago,,,0,0,2011-06-01,2011-06-01,1,75000.0,,,0,2
370,c:102413,gopogo,gopogo,social,closed,2009-11-17,USA,New York,New York,,,0,0,2012-04-26,2012-04-26,1,3000000.0,,,0,2
371,c:102425,VGo Communications,vgo communications,medical,operating,2007-01-01,USA,Nashua,Nashua,,,0,0,2011-05-17,2013-08-14,3,8829914.0,,,0,13
375,c:102449,Infrascale,infrascale,enterprise,operating,,USA,El Segundo,Los Angeles,,,0,0,2011-09-08,2012-09-27,2,3749964.0,2013-04-01,2013-04-01,1,15
377,c:102468,Steelwedge Software,steelwedge software,enterprise,operating,2000-01-01,USA,Pleasanton,SF Bay,,,0,0,2011-09-08,2011-09-08,1,16000000.0,2011-05-12,2011-05-12,1,2
381,c:102491,Oxtex,oxtex,medical,operating,,GBR,Oxford,London,,,0,0,2011-09-08,2012-03-08,2,1037803.0,,,0,1
387,c:10252,Mob.ly,mob ly,mobile,acquired,2007-10-01,USA,San Francisco,SF Bay,,,0,0,2008-03-01,2008-03-01,1,1100000.0,2008-01-01,2010-05-05,2,3
392,c:10256,TimeTrade Systems,timetrade systems,enterprise,operating,2000-01-01,USA,Tewksbury,Boston,,,0,0,2007-09-24,2010-09-24,3,12322500.0,2010-09-24,2013-06-12,3,16
419,c:1027,Mesmo.tv,mesmo tv,games_video,operating,,GBR,,United Kingdom - Other,,,0,0,2007-10-01,2007-10-01,1,900000.0,2007-07-01,2008-06-13,3,8
426,c:10273,Angstro,angstro,software,acquired,2007-04-27,USA,Palo Alto,SF Bay,,,0,0,2007-05-01,2007-05-01,1,225000.0,,,0,4
437,c:102783,Text A Cab,text a cab,transportation,operating,2008-06-01,USA,New York,New York,,,0,0,2011-04-01,2011-04-01,1,50000.0,2008-06-01,2008-06-01,1,1
448,c:102836,"Thru, Inc.",thru,software,operating,2002-02-01,USA,Irving,Dallas,,,0,0,2002-05-22,2013-04-01,4,14734000.0,2012-09-20,2012-09-20,1,8
456,c:102867,WeHostels,wehostels,travel,acquired,2011-11-15,USA,New York City,New York,,,0,0,2012-03-18,2012-03-18,1,1200000.0,2012-06-01,2013-08-02,3,9
473,c:102922,easyOwn.it,easyown it,ecommerce,closed,2011-04-10,CHE,Euthal,Euthal,,,0,0,2011-05-01,2011-05-01,1,138000.0,2011-12-15,2012-05-01,2,7
478,c:10295,Foodista,foodista,hospitality,operating,2008-02-01,USA,Seattle,Seattle,,,0,0,2009-04-16,2010-04-08,2,1300000.0,2009-04-22,2009-04-22,1,3
485,c:103,Funny Or Die,funny or die,games_video,operating,2007-03-01,USA,San Mateo,SF Bay,,,0,0,2007-04-01,2008-12-23,4,18000000.0,2012-12-01,2013-08-26,2,16
489,c:103016,FilterBoxx Water & Environmental,filterboxx water environmental,cleantech,operating,,CAN,Alberta,Alberta,,,0,0,2011-09-09,2011-09-09,1,9000000.0,,,0,3
494,c:10308,Klatcher,klatcher,web,closed,2008-07-10,USA,,New York - Other,,,0,0,2007-12-13,2007-12-13,1,150000.0,2008-01-01,2008-01-01,1,1
499,c:10311,Tweegee,tweegee,games_video,operating,2008-01-01,ISR,Ramat Gan,Ramat Gan,,,0,0,2008-05-01,2008-05-01,1,3000000.0,2008-01-01,2013-07-10,3,4
505,c:103155,SoMoLend,somolend,finance,operating,2011-05-11,USA,Cincinnati,Cincinnati,,,0,0,2011-09-10,2013-03-06,5,5395000.0,2012-08-24,2012-08-24,1,4
511,c:103204,PlayerDuel,playerduel,mobile,closed,2011-01-01,USA,"Palo Alto,",SF Bay,,,0,0,2011-09-05,2012-06-13,2,21189.0,2011-01-01,2011-01-01,1,2
525,c:103292,Routehappy,routehappy,transportation,operating,2011-01-01,USA,New York,New York,,,0,0,2011-05-11,2012-09-05,2,1835000.0,,,0,8
527,c:10331,Telespree,telespree,software,operating,1998-01-01,USA,San Francisco,SF Bay,,,0,0,2010-12-30,2010-12-30,1,1000000.0,2004-01-01,2004-01-01,1,1
529,c:103323,Happy Inspector,happy inspector,mobile,operating,2011-10-01,USA,San Francisco,SF Bay,,,0,0,2012-07-18,2012-07-18,1,895000.0,2011-10-01,2011-10-01,1,3
542,c:103388,FoundValue,foundvalue,web,operating,2003-12-01,,,unknown,,,0,0,2004-05-01,2004-12-01,2,4750000.0,2004-06-01,2004-06-01,1,3
561,c:103477,Storymix Media,storymix media,photo_video,operating,2011-08-01,USA,Chicago,Chicago,,,0,0,2013-01-10,2013-01-17,2,155000.0,2013-01-10,2013-01-10,1,0
571,c:10351,Webvanta,webvanta,public_relations,operating,2007-09-01,USA,Sebastopol,Sebastopol,,,0,0,2008-01-01,2013-01-03,4,1682618.0,2010-03-16,2010-03-16,1,7
580,c:103561,Amrit Advanced Biotech,amrit advanced biotech,biotech,operating,2007-03-03,GBR,Cambridge,London,,,0,0,2007-04-01,2009-10-01,3,3242399.0,2007-03-03,2007-03-03,1,2
602,c:103697,LiveProcess Corp.,liveprocess,software,operating,2004-01-01,USA,Verona,Verona,,,0,0,2012-01-24,2012-01-24,1,1616176.0,2004-01-01,2004-01-01,1,2
616,c:10378,artandseek,artandseek,other,closed,2007-06-27,USA,New York,New York,,,0,0,2007-06-27,2007-06-27,1,50000.0,,,0,2
619,c:103791,Aver Informatics,aver informatics,analytics,operating,2010-06-04,USA,Green Bay,Green Bay,,,0,0,2010-10-27,2013-03-29,3,2475000.0,2010-07-06,2010-07-06,1,2
642,c:103903,Weight Wins,weight wins,medical,operating,2008-01-01,GBR,London,London,,,0,0,2011-09-12,2011-09-12,1,952578.0,,,0,1
645,c:10392,Intela,intela,advertising,acquired,2006-02-02,USA,Boulder,Denver,,,0,0,2010-01-18,2012-08-09,2,13250000.0,2010-08-31,2013-10-09,4,4
648,c:10393,Spare Change Payments,spare change payments,web,acquired,2008-01-01,USA,Cupertino,SF Bay,,,0,0,2008-01-01,2008-01-01,1,509412.0,2009-07-16,2009-07-16,1,3
655,c:10396,NYX Interactive,nyx interactive,games_video,operating,2006-01-01,SWE,Stockholm,Stockholm,,,0,0,2008-08-28,2008-08-28,1,7385500.0,,,0,4
659,c:10398,Picateers,picateers,web,closed,2005-01-01,USA,San Mateo,SF Bay,,,0,0,2006-01-01,2008-08-25,2,12100000.0,2008-07-01,2008-07-01,1,10
663,c:10399,SailPoint Technologies,sailpoint technologies,enterprise,operating,2005-12-01,USA,Austin,Austin,,,0,0,2006-01-01,2013-11-29,4,25830908.0,2013-05-01,2013-05-01,1,10
675,c:10402,Moozey,moozey,mobile,operating,2008-04-01,DEU,Munich,Munich,,,0,0,2008-08-01,2008-08-01,1,109018.0,,,0,2
687,c:104068,Socure,socure,security,operating,2012-09-01,USA,New York,New York,,,0,0,2013-09-13,2013-09-13,1,1700000.0,2012-12-01,2012-12-12,2,7
701,c:104093,Bitcasa,bitcasa,enterprise,operating,2011-01-01,USA,Mountain View,SF Bay,,,0,0,2011-01-01,2013-11-11,4,19500000.0,2013-09-19,2013-11-11,2,5
706,c:104103,Divas Diamond,divas diamond,ecommerce,operating,2011-05-30,TUR,Istanbul,Istanbul,,,0,0,2011-09-12,2011-09-12,1,900000.0,2011-05-30,2011-05-30,1,3
716,c:104132,Red Seraphim,red seraphim,games_video,operating,,USA,Santa Clara,SF Bay,,,0,0,2011-12-01,2011-12-01,1,50000.0,,,0,5
717,c:104138,BubbleLife Media,bubblelife media,advertising,operating,2008-01-15,USA,Dallas,Dallas,,,0,0,2012-11-13,2012-11-13,1,50000.0,2008-01-15,2011-10-25,2,2
737,c:104196,Ascension Orthopedics,ascension orthopedics,biotech,acquired,1996-01-01,USA,Austin,Austin,,,0,0,2011-07-20,2011-07-20,1,18664050.0,,,0,2
739,c:1042,Whiskey Media,whiskey media,web,acquired,2007-10-01,USA,San Francisco,SF Bay,,,0,0,2009-03-24,2009-12-31,2,4000000.0,2009-12-31,2009-12-31,1,6
741,c:104201,Team Robot,team robot,games_video,operating,2010-12-15,,,unknown,,,0,0,2011-03-01,2011-03-01,1,25000.0,2011-08-02,2011-08-02,1,3
742,c:10421,TurnTide,turntide,,acquired,,,,unknown,,,0,0,2003-01-01,2003-01-01,1,750000.0,2004-01-01,2004-01-01,1,4
746,c:104224,Balluun,balluun,ecommerce,operating,2009-08-14,USA,Foster City,SF Bay,,,0,0,2013-07-23,2013-07-23,1,8700000.0,2012-01-01,2013-10-23,2,5
748,c:10424,FitnessKeeper,fitnesskeeper,health,operating,2008-01-01,USA,Boston,Boston,,,0,0,2009-11-30,2011-11-21,3,11510000.0,2010-11-30,2012-03-23,4,6
758,c:1043,VoodooVox,voodoovox,mobile,acquired,2002-01-01,USA,Williamstown,Williamstown,,,0,0,2005-08-02,2013-02-08,3,9650000.0,2010-01-01,2011-12-28,4,13
759,c:10430,CampaignerCRM,campaignercrm,software,operating,2004-01-01,USA,Woburn,Boston,,,0,0,2010-01-27,2010-01-27,1,8000000.0,,,0,12
767,c:104321,ClickN KIDS,clickn kids,education,operating,2003-05-23,USA,Carson City,Carson City,,,0,0,2013-07-03,2013-07-03,1,4000000.0,2011-07-01,2011-07-01,1,5
774,c:10436,Cignis,cignis,enterprise,operating,2007-06-01,NOR,Hvalstad,Hvalstad,,,0,0,2007-06-01,2007-06-01,1,20000.0,,,0,1
783,c:104393,StickyADStv,stickyadstv,advertising,operating,2009-12-01,FRA,Paris,Paris,,,0,0,2011-09-13,2013-05-28,2,5694085.0,2009-12-01,2009-12-01,1,2
806,c:104452,TapRush,taprush,mobile,operating,2011-01-01,USA,San Francisco,SF Bay,,,0,0,2011-02-01,2011-02-01,1,1200000.0,2013-05-01,2013-05-01,1,3
827,c:10452,Image Space Media,image space media,advertising,acquired,2008-01-01,USA,New York,New York,,,0,0,2010-01-19,2010-12-30,2,3915000.0,2010-01-01,2011-10-24,2,9
829,c:104538,Moviecom.tv,moviecom tv,games_video,operating,2007-01-01,GBR,cumbernauld,cumbernauld,,,0,0,2010-01-01,2010-01-01,1,811057.0,2007-01-01,2007-01-01,1,4
838,c:104557,AppAddictive,appaddictive,advertising,operating,,USA,New York,New York,,,0,0,2012-01-19,2012-01-19,1,1200000.0,2011-01-01,2012-01-19,2,2
842,c:104568,TapnScrap,tapnscrap,mobile,operating,2010-02-12,USA,San Mateo,SF Bay,,,0,0,2010-02-12,2010-02-12,1,15000.0,,,0,0
846,c:104587,AI Exchange,ai exchange,finance,operating,,USA,Boston,Boston,,,0,0,2011-09-13,2011-09-13,1,1500000.0,2011-02-01,2011-02-01,1,3
848,c:104594,JetSuite,jetsuite,transportation,operating,,USA,Irvine,Los Angeles,,,0,0,2011-09-13,2011-09-13,1,7000000.0,,,0,5
851,c:104598,RF Surgical Systems,rf surgical systems,medical,operating,,USA,Bellevue,Seattle,,,0,0,2011-09-13,2013-01-04,2,12120000.0,,,0,1
855,c:104603,CURRENT,current,software,operating,,USA,Germantown,Washington DC,,,0,0,2011-09-13,2011-09-13,1,13000000.0,2012-01-01,2012-01-01,1,1
858,c:104610,Arrien Pharmaceuticals,arrien pharmaceuticals,biotech,operating,,USA,Ansonia,Ansonia,,,0,0,2011-09-13,2011-09-13,1,2000000.0,,,0,1
871,c:104636,Kwestr,kwestr,web,operating,2010-09-01,CHN,,China - Other,,,0,0,2011-09-13,2011-09-13,1,57000.0,2010-09-01,2010-09-01,1,2
885,c:1047,CondoDomain,condodomain,web,acquired,2005-10-01,USA,New York,New York,,,0,0,2005-06-01,2005-06-01,1,250000.0,,,0,4
895,c:104739,CrushBlvd,crushblvd,social,operating,2011-01-01,USA,,California - Other,,,0,0,2011-01-01,2011-01-01,1,100000.0,,,0,0
897,c:10475,Abbott Labs,abbott labs,biotech,ipo,1991-01-01,USA,Des Plaines,Chicago,2007-01-30,2007-11-27,2,2,2011-03-15,2011-03-15,1,100000.0,2009-01-01,2013-08-19,2,66
899,c:104753,gis.to,gis to,web,operating,2010-01-01,USA,Chicago,Chicago,,,0,0,2011-07-01,2011-07-01,1,2454.0,2010-01-01,2010-01-01,1,3
915,c:1048,SnapLayout,snaplayout,network_hosting,closed,,USA,San Francisco,SF Bay,,,0,0,2007-05-01,2007-05-01,1,650000.0,2007-10-10,2013-04-14,3,3
916,c:10480,Big Stage,big stage,web,acquired,2008-06-01,USA,South Pasadena,Los Angeles,,,0,0,2007-03-01,2009-04-14,2,10600000.0,2008-07-01,2013-10-08,3,6
921,c:104815,M-Files,m files,software,operating,2001-01-01,USA,Dallas,Dallas,,,0,0,2013-04-30,2013-04-30,1,7843200.0,2012-03-01,2013-04-30,2,3
931,c:104837,Emerge Studio,emerge studio,software,operating,2010-04-01,ZAF,Knysna,Knysna,,,0,0,2009-02-26,2009-02-26,1,100000.0,2009-03-17,2009-03-17,1,1
942,c:104861,Brightblue,brightblue,software,operating,2000-01-01,GBR,LONDON,London,,,0,0,2000-01-01,2003-01-01,3,2309232.0,2005-11-01,2005-11-01,1,1
953,c:1049,Confabb,confabb,web,closed,2006-06-01,USA,,California - Other,,,0,0,2007-08-01,2007-08-01,1,200000.0,2007-09-24,2007-09-24,1,3
955,c:104908,Punchh,punchh,mobile,operating,2010-01-01,USA,Sunnyvale,SF Bay,,,0,0,2013-08-15,2013-08-15,1,4000000.0,2010-08-01,2013-10-10,2,4
967,c:104947,meQuilibrium,mequilibrium,health,operating,,USA,Boston,Boston,,,0,0,2011-09-14,2011-09-14,1,2300000.0,,,0,0
972,c:104971,EnerTrac,enertrac,manufacturing,operating,2006-01-01,USA,Hudson,Hudson,,,0,0,2011-09-14,2013-07-18,3,5200000.0,,,0,4
973,c:104980,Ocision,ocision,web,operating,2010-03-17,MYS,,Malaysia - Other,,,0,0,2010-03-01,2011-11-01,3,1600000.0,,,0,1
974,c:104981,Nerd Attack,nerd attack,mobile,operating,2010-10-01,MYS,"Petaling Jaya, Selangor",Petaling Jaya,,,0,0,2011-03-01,2011-03-01,1,35000.0,,,0,2
975,c:104983,Milk A Deal,milk a deal,web,operating,2011-01-01,MYS,Kuala Lumpur,Kuala Lumpur,,,0,0,2011-06-01,2011-06-01,1,165000.0,,,0,2
976,c:104984,Long Tail,long tail,mobile,operating,2006-01-01,MYS,"Petaling Jaya, Selangor",Petaling Jaya,,,0,0,2006-01-01,2006-01-01,1,20000.0,2006-01-01,2006-01-01,1,1
982,c:105,Surphace,surphace,web,acquired,2005-06-01,USA,New York,New York,,,0,0,2005-04-01,2006-05-01,2,3500000.0,2008-02-02,2013-10-17,4,15
989,c:105008,Base79,base79,advertising,operating,2007-06-28,GBR,London,London,,,0,0,2011-09-15,2012-11-13,2,14345753.0,,,0,10
1003,c:105075,AccuNostics,accunostics,medical,operating,2008-01-01,GBR,Forres,Forres,,,0,0,2011-09-15,2011-09-15,1,6321095.0,2011-01-01,2011-01-01,1,1
1011,c:1051,RayV,rayv,games_video,operating,2005-01-01,USA,New York,New York,,,0,0,2007-01-01,2010-04-29,3,16030566.0,,,0,7
1031,c:105168,Collective Bias,collective bias,social,operating,2009-05-11,USA,Bentonville,Bentonville,,,0,0,2009-01-01,2013-04-02,3,11000000.0,2013-02-06,2013-06-01,3,22
1032,c:105174,Pingup,pingup,web,operating,2010-05-01,USA,Boston,Boston,,,0,0,2012-11-20,2012-11-20,1,4000000.0,2011-09-01,2011-09-01,1,5
1046,c:10521,Motorator,motorator,ecommerce,operating,2007-01-01,USA,Marina Del Rey,Los Angeles,,,0,0,2007-12-01,2007-12-01,1,160000.0,,,0,3
1050,c:105217,Billfish Software,billfish software,enterprise,operating,2007-10-15,USA,Miami Beach,Miami,,,0,0,2010-10-15,2010-10-15,1,500000.0,2007-10-01,2007-10-01,1,1
1057,c:105243,orderbolt,orderbolt,software,operating,2011-07-31,USA,Carbondale,Carbondale,,,0,0,2012-01-22,2012-01-22,1,48501.0,2012-01-01,2012-03-01,2,7
1062,c:10526,Anagran,anagran,network_hosting,operating,2004-01-01,USA,Sunnyvale,SF Bay,,,0,0,2005-11-16,2008-09-15,2,22600000.0,2007-01-01,2007-01-01,1,4
1068,c:10527,DebtMarket,debtmarket,finance,acquired,2007-01-10,,,unknown,,,0,0,2007-06-19,2011-03-03,4,4046884.0,2010-10-18,2012-05-01,2,8
1071,c:10529,Fancorps,fancorps,network_hosting,operating,2005-01-01,USA,Dallas,Dallas,,,0,0,2007-06-01,2007-06-01,1,100000.0,,,0,5
1078,c:1053,Uptake,uptake,web,acquired,2008-01-01,USA,Palo Alto,SF Bay,,,0,0,2006-11-21,2008-09-18,3,14000000.0,2007-03-01,2013-10-17,4,11
1079,c:105305,Niveus Medical,niveus medical,biotech,operating,2008-01-01,USA,Palo Alto,SF Bay,,,0,0,2011-09-15,2013-08-02,2,2365000.0,,,0,1
1080,c:105315,Gamerizon Studio,gamerizon studio,games_video,operating,,CAN,Montreal (Quebec),Montreal,,,0,0,2011-09-15,2011-09-15,1,5000000.0,2010-06-01,2010-06-01,1,4
1086,c:10533,Cellogic,cellogic,mobile,operating,2010-01-01,ISR,Jerusalem,Jerusalem,,,0,0,2008-01-01,2008-01-01,1,750000.0,2012-05-01,2013-11-18,2,5
1100,c:105386,Richard Pauer - 3P,richard pauer 3p,ecommerce,operating,1996-01-01,SVK,Kosice,Kosice,,,0,0,2009-01-01,2009-01-01,1,4500000.0,,,0,2
